services_id,rate_amount,service_type,rate_name,rate_category
1481,83.3,Energy supply,Water supply,Standard tariffs
1545,58.0,Servicing,Electricity supply,Economy tariffs
2708,87.5,Energy supply,Gas supply,Combined tariffs
292,77.2,Consulting,Electricity supply,Discounted rates
2857,68.5,Installation of equipment,Water supply,Standard tariffs
3965,54.8,Energy supply,Water supply,Individual tariffs
2515,57.0,Installation of equipment,Heating,Preferential tariffs
3187,55.7,Consulting,Heating,Standard tariffs
2744,80.1,Servicing,Electricity supply,Individual tariffs
1142,55.9,Repair,Electricity supply,Standard tariffs
3284,81.2,Energy supply,Drainage,Tariffs for industry
3846,92.3,Consulting,Drainage,Tariffs for industry
2617,81.1,Repair,Gas supply,Discounted rates
1246,81.5,Servicing,Gas supply,Tariffs for industry
2984,56.4,Servicing,Water supply,Combined tariffs
1223,60.1,Energy supply,Heating,Standard tariffs
759,94.0,Servicing,Water supply,Individual tariffs
913,64.4,Repair,Water supply,Economy tariffs
324,68.7,Installation of equipment,Gas supply,Standard tariffs
1910,60.2,Installation of equipment,Drainage,Economy tariffs
1108,88.7,Consulting,Heating,Economy tariffs
1711,52.3,Installation of equipment,Drainage,Preferential tariffs
3299,65.4,Consulting,Drainage,Combined tariffs
506,65.7,Repair,Electricity supply,Standard tariffs
3548,85.6,Installation of equipment,Gas supply,Individual tariffs
1392,57.4,Energy supply,Water supply,Discounted rates
2291,55.1,Servicing,Water supply,Economy tariffs
2018,50.5,Repair,Drainage,Individual tariffs
2127,70.9,Energy supply,Gas supply,Combined tariffs
3291,84.2,Consulting,Drainage,Standard tariffs
1014,85.4,Repair,Water supply,Discounted rates
3786,78.1,Installation of equipment,Water supply,Combined tariffs
2598,77.2,Servicing,Electricity supply,Standard tariffs
789,86.6,Installation of equipment,Electricity supply,Discounted rates
1533,67.3,Installation of equipment,Drainage,Economy tariffs
2592,77.0,Energy supply,Gas supply,Discounted rates
3717,69.7,Servicing,Heating,Combined tariffs
3387,63.9,Energy supply,Drainage,Discounted rates
1292,84.0,Installation of equipment,Drainage,Tariffs for industry
458,97.2,Repair,Electricity supply,Tariffs for industry
1617,94.2,Repair,Drainage,Tariffs for industry
980,68.2,Consulting,Electricity supply,Combined tariffs
2040,66.8,Installation of equipment,Electricity supply,Economy tariffs
3067,62.7,Energy supply,Water supply,Discounted rates
447,82.5,Repair,Heating,Preferential tariffs
2820,94.6,Energy supply,Electricity supply,Discounted rates
3617,98.6,Consulting,Electricity supply,Discounted rates
3826,67.0,Installation of equipment,Drainage,Economy tariffs
1431,62.4,Energy supply,Gas supply,Tariffs for industry
827,95.2,Repair,Drainage,Tariffs for industry
1391,64.6,Energy supply,Water supply,Discounted rates
1121,70.1,Energy supply,Electricity supply,Combined tariffs
320,97.5,Installation of equipment,Drainage,Combined tariffs
1246,88.6,Servicing,Heating,Tariffs for industry
1004,76.2,Installation of equipment,Water supply,Combined tariffs
3460,94.6,Installation of equipment,Water supply,Tariffs for industry
3041,87.3,Energy supply,Gas supply,Tariffs for industry
2035,54.4,Consulting,Heating,Tariffs for industry
399,81.1,Repair,Water supply,Standard tariffs
72,64.4,Consulting,Water supply,Economy tariffs
3251,99.7,Servicing,Electricity supply,Standard tariffs
2953,61.9,Installation of equipment,Gas supply,Preferential tariffs
3298,73.3,Servicing,Electricity supply,Discounted rates
2231,55.0,Consulting,Electricity supply,Tariffs for industry
3975,88.1,Installation of equipment,Heating,Combined tariffs
885,90.9,Energy supply,Electricity supply,Standard tariffs
478,60.1,Energy supply,Gas supply,Discounted rates
1050,91.8,Consulting,Water supply,Discounted rates
2974,91.8,Energy supply,Drainage,Discounted rates
623,72.3,Consulting,Heating,Discounted rates
1821,80.2,Energy supply,Drainage,Discounted rates
3500,89.5,Consulting,Electricity supply,Individual tariffs
2342,76.2,Repair,Drainage,Combined tariffs
3529,72.6,Repair,Water supply,Standard tariffs
1205,60.6,Repair,Gas supply,Individual tariffs
3889,71.6,Installation of equipment,Heating,Individual tariffs
2297,94.8,Repair,Heating,Economy tariffs
3947,96.8,Servicing,Water supply,Combined tariffs
1245,69.2,Energy supply,Drainage,Economy tariffs
2009,81.0,Energy supply,Water supply,Standard tariffs
1206,83.1,Installation of equipment,Gas supply,Tariffs for industry
2650,94.8,Repair,Electricity supply,Individual tariffs
1131,87.9,Repair,Electricity supply,Preferential tariffs
3060,93.8,Consulting,Drainage,Combined tariffs
3362,93.0,Repair,Water supply,Tariffs for industry
1772,87.3,Installation of equipment,Drainage,Standard tariffs
2580,99.7,Servicing,Electricity supply,Combined tariffs
3959,85.0,Repair,Heating,Discounted rates
3898,88.2,Servicing,Electricity supply,Tariffs for industry
1188,90.8,Repair,Heating,Discounted rates
581,58.0,Repair,Gas supply,Tariffs for industry
3572,70.8,Installation of equipment,Gas supply,Standard tariffs
1624,72.1,Repair,Heating,Discounted rates
12,57.6,Energy supply,Electricity supply,Preferential tariffs
504,56.6,Servicing,Water supply,Discounted rates
741,56.2,Repair,Drainage,Economy tariffs
2352,66.8,Installation of equipment,Water supply,Tariffs for industry
2100,96.3,Repair,Water supply,Standard tariffs
1957,81.1,Installation of equipment,Electricity supply,Economy tariffs
365,58.3,Energy supply,Drainage,Preferential tariffs
2714,55.5,Repair,Drainage,Tariffs for industry
1318,85.8,Energy supply,Water supply,Individual tariffs
2707,74.6,Energy supply,Electricity supply,Standard tariffs
1915,62.0,Repair,Water supply,Combined tariffs
1066,94.7,Repair,Gas supply,Standard tariffs
1614,67.7,Servicing,Drainage,Combined tariffs
264,92.0,Consulting,Electricity supply,Discounted rates
279,71.3,Energy supply,Water supply,Combined tariffs
602,63.5,Servicing,Gas supply,Economy tariffs
1302,96.9,Servicing,Electricity supply,Individual tariffs
3956,94.0,Repair,Electricity supply,Preferential tariffs
409,85.5,Consulting,Water supply,Combined tariffs
2960,99.3,Consulting,Heating,Discounted rates
2629,74.3,Consulting,Gas supply,Economy tariffs
988,97.3,Servicing,Gas supply,Economy tariffs
626,87.2,Consulting,Water supply,Individual tariffs
2539,97.9,Repair,Drainage,Discounted rates
933,83.9,Servicing,Gas supply,Combined tariffs
2673,59.6,Repair,Water supply,Standard tariffs
1277,64.8,Installation of equipment,Heating,Tariffs for industry
2330,96.5,Servicing,Electricity supply,Tariffs for industry
3832,60.6,Installation of equipment,Gas supply,Preferential tariffs
3968,73.5,Repair,Water supply,Economy tariffs
2009,65.0,Energy supply,Drainage,Combined tariffs
2319,70.3,Installation of equipment,Gas supply,Discounted rates
3936,73.1,Repair,Drainage,Tariffs for industry
3222,51.6,Installation of equipment,Gas supply,Combined tariffs
826,50.5,Repair,Drainage,Tariffs for industry
1216,93.7,Servicing,Gas supply,Individual tariffs
3182,67.6,Energy supply,Drainage,Standard tariffs
631,94.8,Installation of equipment,Drainage,Discounted rates
1455,63.0,Repair,Heating,Discounted rates
720,91.1,Installation of equipment,Electricity supply,Standard tariffs
617,79.8,Servicing,Heating,Standard tariffs
1303,64.8,Servicing,Gas supply,Discounted rates
1947,79.0,Energy supply,Drainage,Individual tariffs
2295,68.3,Energy supply,Water supply,Discounted rates
2440,69.4,Consulting,Electricity supply,Individual tariffs
3539,58.0,Consulting,Water supply,Individual tariffs
3287,68.2,Servicing,Heating,Combined tariffs
2565,84.6,Installation of equipment,Drainage,Preferential tariffs
2945,70.5,Consulting,Water supply,Economy tariffs
1756,67.9,Energy supply,Heating,Individual tariffs
369,88.5,Servicing,Electricity supply,Economy tariffs
677,86.6,Energy supply,Drainage,Individual tariffs
1306,61.3,Energy supply,Heating,Standard tariffs
1186,78.7,Energy supply,Gas supply,Standard tariffs
2435,80.2,Consulting,Heating,Economy tariffs
1219,56.0,Servicing,Electricity supply,Tariffs for industry
2465,99.8,Servicing,Water supply,Individual tariffs
1534,72.1,Repair,Gas supply,Standard tariffs
3173,50.8,Repair,Drainage,Individual tariffs
2735,80.0,Servicing,Water supply,Combined tariffs
3706,80.1,Repair,Drainage,Combined tariffs
2279,87.6,Consulting,Heating,Discounted rates
1315,68.4,Energy supply,Electricity supply,Discounted rates
2233,99.3,Energy supply,Gas supply,Economy tariffs
314,81.3,Consulting,Gas supply,Discounted rates
2407,99.2,Installation of equipment,Heating,Tariffs for industry
3202,64.0,Repair,Heating,Standard tariffs
2814,81.3,Energy supply,Drainage,Tariffs for industry
1415,57.3,Repair,Drainage,Standard tariffs
2582,97.5,Repair,Gas supply,Individual tariffs
2422,87.9,Repair,Heating,Discounted rates
2826,85.6,Energy supply,Gas supply,Combined tariffs
2922,60.9,Consulting,Electricity supply,Standard tariffs
3770,60.5,Servicing,Heating,Economy tariffs
1669,89.9,Servicing,Heating,Standard tariffs
491,81.6,Consulting,Drainage,Individual tariffs
419,76.4,Consulting,Heating,Economy tariffs
3608,70.6,Repair,Electricity supply,Discounted rates
309,92.5,Consulting,Gas supply,Economy tariffs
3542,71.5,Repair,Drainage,Tariffs for industry
2102,72.7,Installation of equipment,Electricity supply,Economy tariffs
468,74.1,Servicing,Drainage,Combined tariffs
3051,65.0,Energy supply,Heating,Combined tariffs
604,68.2,Repair,Gas supply,Economy tariffs
2336,50.5,Installation of equipment,Heating,Economy tariffs
224,93.2,Energy supply,Gas supply,Tariffs for industry
2659,86.9,Energy supply,Drainage,Standard tariffs
3236,97.1,Energy supply,Gas supply,Individual tariffs
1707,73.0,Servicing,Heating,Economy tariffs
2699,65.0,Servicing,Drainage,Preferential tariffs
803,72.3,Consulting,Drainage,Preferential tariffs
1339,62.2,Energy supply,Water supply,Discounted rates
1707,62.0,Consulting,Water supply,Discounted rates
438,82.4,Repair,Electricity supply,Preferential tariffs
1098,76.8,Installation of equipment,Drainage,Combined tariffs
405,58.4,Energy supply,Water supply,Discounted rates
188,67.6,Energy supply,Drainage,Individual tariffs
778,74.1,Servicing,Gas supply,Individual tariffs
60,69.3,Servicing,Heating,Discounted rates
2720,87.9,Installation of equipment,Water supply,Standard tariffs
2212,67.2,Repair,Drainage,Economy tariffs
3663,61.4,Installation of equipment,Electricity supply,Combined tariffs
3258,69.1,Servicing,Water supply,Discounted rates
818,80.8,Energy supply,Water supply,Individual tariffs
1092,53.7,Repair,Gas supply,Combined tariffs
478,95.8,Consulting,Gas supply,Individual tariffs
2098,75.9,Consulting,Electricity supply,Tariffs for industry
2828,70.9,Installation of equipment,Gas supply,Discounted rates
3939,71.1,Energy supply,Electricity supply,Standard tariffs
3488,83.8,Installation of equipment,Electricity supply,Combined tariffs
2692,67.2,Installation of equipment,Gas supply,Individual tariffs
3261,52.7,Consulting,Heating,Preferential tariffs
1821,78.3,Repair,Electricity supply,Tariffs for industry
3263,97.4,Energy supply,Heating,Discounted rates
987,61.3,Servicing,Drainage,Individual tariffs
561,89.6,Servicing,Drainage,Standard tariffs
463,53.9,Installation of equipment,Water supply,Preferential tariffs
1786,84.6,Installation of equipment,Drainage,Standard tariffs
1538,53.1,Consulting,Gas supply,Economy tariffs
1119,86.9,Energy supply,Electricity supply,Tariffs for industry
2574,92.1,Consulting,Drainage,Preferential tariffs
612,96.1,Servicing,Drainage,Standard tariffs
3767,79.6,Servicing,Heating,Tariffs for industry
942,79.8,Energy supply,Heating,Discounted rates
3108,65.2,Servicing,Heating,Standard tariffs
3615,79.1,Servicing,Gas supply,Preferential tariffs
1701,79.2,Repair,Electricity supply,Discounted rates
124,53.7,Energy supply,Electricity supply,Standard tariffs
1503,69.5,Servicing,Gas supply,Tariffs for industry
1641,90.6,Servicing,Water supply,Discounted rates
3391,94.3,Energy supply,Heating,Preferential tariffs
332,72.5,Consulting,Gas supply,Discounted rates
2146,67.1,Servicing,Drainage,Discounted rates
1377,54.8,Servicing,Gas supply,Discounted rates
53,73.8,Consulting,Water supply,Discounted rates
1538,54.8,Repair,Heating,Tariffs for industry
503,89.1,Servicing,Electricity supply,Individual tariffs
1666,95.8,Servicing,Gas supply,Economy tariffs
1303,94.6,Consulting,Water supply,Combined tariffs
2437,60.4,Installation of equipment,Heating,Preferential tariffs
2605,55.0,Consulting,Drainage,Preferential tariffs
3327,61.1,Servicing,Electricity supply,Combined tariffs
3522,90.6,Energy supply,Electricity supply,Individual tariffs
783,52.3,Energy supply,Electricity supply,Tariffs for industry
2461,71.9,Energy supply,Water supply,Tariffs for industry
206,66.0,Repair,Drainage,Preferential tariffs
712,82.9,Servicing,Gas supply,Economy tariffs
1905,86.1,Repair,Heating,Discounted rates
2118,61.3,Repair,Drainage,Preferential tariffs
3214,100.0,Repair,Heating,Individual tariffs
1790,79.0,Consulting,Drainage,Individual tariffs
1866,94.9,Consulting,Drainage,Discounted rates
2812,56.5,Energy supply,Gas supply,Preferential tariffs
3926,82.8,Servicing,Heating,Tariffs for industry
2042,80.2,Repair,Electricity supply,Individual tariffs
3294,79.4,Servicing,Electricity supply,Individual tariffs
2743,51.1,Servicing,Water supply,Preferential tariffs
32,64.2,Consulting,Water supply,Standard tariffs
2884,51.2,Servicing,Water supply,Preferential tariffs
1621,91.7,Servicing,Gas supply,Discounted rates
3921,74.0,Consulting,Heating,Standard tariffs
3264,57.1,Energy supply,Water supply,Discounted rates
1080,97.6,Energy supply,Electricity supply,Economy tariffs
1333,76.7,Installation of equipment,Gas supply,Preferential tariffs
2070,83.5,Energy supply,Gas supply,Discounted rates
1398,56.4,Servicing,Water supply,Preferential tariffs
125,56.5,Repair,Heating,Economy tariffs
3651,74.3,Repair,Heating,Individual tariffs
3878,78.9,Repair,Gas supply,Tariffs for industry
1205,68.2,Installation of equipment,Heating,Combined tariffs
3589,84.8,Installation of equipment,Drainage,Individual tariffs
3927,78.1,Consulting,Water supply,Preferential tariffs
3058,62.1,Consulting,Water supply,Preferential tariffs
630,75.9,Installation of equipment,Heating,Individual tariffs
3277,98.6,Energy supply,Drainage,Individual tariffs
1989,66.4,Servicing,Heating,Discounted rates
2525,58.5,Consulting,Electricity supply,Economy tariffs
1785,60.5,Energy supply,Heating,Standard tariffs
546,93.9,Repair,Heating,Tariffs for industry
3731,70.1,Installation of equipment,Heating,Economy tariffs
1315,88.5,Installation of equipment,Drainage,Economy tariffs
2214,89.7,Repair,Gas supply,Economy tariffs
64,87.4,Repair,Gas supply,Tariffs for industry
775,86.2,Installation of equipment,Electricity supply,Preferential tariffs
3837,54.5,Repair,Water supply,Combined tariffs
855,66.8,Consulting,Electricity supply,Preferential tariffs
3044,87.8,Consulting,Heating,Discounted rates
3611,74.5,Energy supply,Drainage,Preferential tariffs
2417,51.1,Consulting,Gas supply,Discounted rates
3968,54.0,Repair,Electricity supply,Combined tariffs
3771,70.0,Energy supply,Gas supply,Tariffs for industry
851,66.7,Energy supply,Electricity supply,Economy tariffs
1683,93.6,Repair,Heating,Individual tariffs
3030,70.7,Consulting,Electricity supply,Individual tariffs
1996,87.4,Consulting,Electricity supply,Discounted rates
2346,61.8,Consulting,Drainage,Preferential tariffs
430,86.2,Energy supply,Drainage,Tariffs for industry
893,76.5,Energy supply,Drainage,Discounted rates
2886,66.9,Servicing,Drainage,Economy tariffs
3473,54.6,Repair,Gas supply,Tariffs for industry
3880,61.3,Repair,Electricity supply,Combined tariffs
3144,81.7,Servicing,Gas supply,Tariffs for industry
385,62.9,Consulting,Drainage,Economy tariffs
1811,56.1,Energy supply,Water supply,Standard tariffs
3810,81.0,Energy supply,Electricity supply,Standard tariffs
2059,73.8,Energy supply,Gas supply,Economy tariffs
2616,53.4,Servicing,Electricity supply,Individual tariffs
1003,89.8,Consulting,Heating,Standard tariffs
2719,89.5,Installation of equipment,Water supply,Discounted rates
1687,59.2,Servicing,Gas supply,Individual tariffs
3639,57.1,Installation of equipment,Heating,Discounted rates
1132,78.6,Servicing,Electricity supply,Preferential tariffs
2475,95.1,Repair,Water supply,Economy tariffs
332,66.5,Installation of equipment,Gas supply,Discounted rates
1440,63.1,Energy supply,Electricity supply,Tariffs for industry
3586,55.4,Repair,Gas supply,Individual tariffs
1625,50.1,Consulting,Water supply,Individual tariffs
2565,67.3,Installation of equipment,Electricity supply,Discounted rates
2329,76.2,Servicing,Electricity supply,Standard tariffs
2033,71.3,Consulting,Electricity supply,Economy tariffs
2893,62.6,Installation of equipment,Drainage,Preferential tariffs
455,78.3,Consulting,Heating,Tariffs for industry
141,60.4,Servicing,Water supply,Individual tariffs
392,71.8,Installation of equipment,Water supply,Economy tariffs
2449,71.1,Servicing,Heating,Discounted rates
3255,74.9,Installation of equipment,Heating,Combined tariffs
857,69.9,Energy supply,Electricity supply,Combined tariffs
1679,50.6,Installation of equipment,Water supply,Economy tariffs
58,94.3,Repair,Gas supply,Standard tariffs
1620,79.1,Installation of equipment,Drainage,Individual tariffs
632,83.2,Servicing,Heating,Discounted rates
3716,95.4,Repair,Heating,Combined tariffs
3218,94.9,Energy supply,Drainage,Standard tariffs
484,92.6,Repair,Gas supply,Discounted rates
1903,84.3,Repair,Electricity supply,Standard tariffs
3433,71.0,Installation of equipment,Drainage,Combined tariffs
1342,55.7,Installation of equipment,Drainage,Tariffs for industry
1084,86.3,Energy supply,Gas supply,Discounted rates
2010,54.5,Consulting,Drainage,Combined tariffs
747,99.9,Repair,Electricity supply,Discounted rates
2856,89.4,Installation of equipment,Heating,Discounted rates
1259,56.3,Servicing,Electricity supply,Economy tariffs
407,61.4,Energy supply,Drainage,Preferential tariffs
2242,93.3,Servicing,Water supply,Combined tariffs
1106,52.7,Repair,Drainage,Preferential tariffs
1848,56.9,Consulting,Heating,Tariffs for industry
394,87.2,Energy supply,Electricity supply,Preferential tariffs
580,91.8,Servicing,Heating,Individual tariffs
2680,63.6,Installation of equipment,Electricity supply,Preferential tariffs
1063,51.9,Consulting,Drainage,Economy tariffs
2686,77.8,Energy supply,Drainage,Combined tariffs
3597,84.3,Energy supply,Gas supply,Economy tariffs
372,97.4,Repair,Water supply,Individual tariffs
3099,80.8,Consulting,Drainage,Economy tariffs
1922,82.7,Consulting,Gas supply,Economy tariffs
1954,54.9,Energy supply,Drainage,Individual tariffs
247,71.3,Installation of equipment,Electricity supply,Preferential tariffs
1084,83.4,Installation of equipment,Drainage,Tariffs for industry
1466,76.8,Consulting,Drainage,Tariffs for industry
1051,88.8,Repair,Gas supply,Tariffs for industry
2106,61.9,Installation of equipment,Electricity supply,Combined tariffs
2066,98.4,Servicing,Electricity supply,Discounted rates
3816,74.7,Consulting,Gas supply,Standard tariffs
2637,51.7,Consulting,Electricity supply,Discounted rates
634,93.7,Repair,Water supply,Individual tariffs
1860,89.9,Consulting,Electricity supply,Individual tariffs
3176,63.5,Energy supply,Drainage,Tariffs for industry
3846,67.4,Energy supply,Electricity supply,Preferential tariffs
3182,97.4,Installation of equipment,Heating,Preferential tariffs
652,91.6,Energy supply,Electricity supply,Combined tariffs
3460,71.1,Repair,Gas supply,Standard tariffs
2881,59.9,Repair,Electricity supply,Discounted rates
2729,56.9,Servicing,Heating,Combined tariffs
3488,96.2,Repair,Gas supply,Tariffs for industry
32,85.5,Servicing,Drainage,Discounted rates
1622,75.1,Repair,Drainage,Individual tariffs
1727,52.1,Installation of equipment,Drainage,Combined tariffs
554,62.0,Servicing,Water supply,Discounted rates
533,81.4,Installation of equipment,Heating,Standard tariffs
3972,76.4,Energy supply,Water supply,Combined tariffs
522,61.0,Installation of equipment,Gas supply,Preferential tariffs
3579,59.3,Consulting,Heating,Individual tariffs
1894,68.2,Consulting,Drainage,Standard tariffs
1520,74.9,Installation of equipment,Electricity supply,Combined tariffs
2338,56.8,Repair,Heating,Standard tariffs
2610,85.9,Energy supply,Drainage,Standard tariffs
1864,66.8,Consulting,Heating,Tariffs for industry
2887,58.3,Repair,Water supply,Tariffs for industry
1290,76.4,Energy supply,Drainage,Combined tariffs
3894,73.8,Energy supply,Gas supply,Individual tariffs
1961,95.1,Repair,Water supply,Economy tariffs
3531,69.1,Consulting,Drainage,Preferential tariffs
1969,75.4,Consulting,Drainage,Economy tariffs
1733,56.9,Energy supply,Electricity supply,Tariffs for industry
522,74.7,Consulting,Electricity supply,Combined tariffs
1200,55.7,Installation of equipment,Heating,Combined tariffs
887,98.8,Consulting,Water supply,Combined tariffs
1168,78.1,Consulting,Water supply,Standard tariffs
1495,95.2,Energy supply,Water supply,Economy tariffs
3863,60.9,Installation of equipment,Electricity supply,Individual tariffs
3316,68.2,Repair,Drainage,Preferential tariffs
1878,92.1,Energy supply,Gas supply,Standard tariffs
2120,69.1,Energy supply,Drainage,Preferential tariffs
3724,71.1,Energy supply,Gas supply,Discounted rates
191,59.8,Installation of equipment,Drainage,Preferential tariffs
1214,72.8,Installation of equipment,Electricity supply,Preferential tariffs
2584,78.2,Energy supply,Drainage,Combined tariffs
2832,84.6,Repair,Electricity supply,Tariffs for industry
391,81.3,Installation of equipment,Water supply,Combined tariffs
1563,99.2,Energy supply,Water supply,Combined tariffs
883,56.8,Repair,Water supply,Economy tariffs
1190,76.0,Consulting,Water supply,Economy tariffs
496,80.5,Servicing,Heating,Individual tariffs
3094,81.8,Energy supply,Drainage,Combined tariffs
1692,89.0,Consulting,Heating,Discounted rates
371,85.1,Energy supply,Electricity supply,Economy tariffs
3728,68.3,Installation of equipment,Heating,Combined tariffs
420,69.5,Repair,Water supply,Discounted rates
2158,88.2,Consulting,Heating,Standard tariffs
749,81.9,Energy supply,Gas supply,Individual tariffs
592,90.4,Energy supply,Water supply,Individual tariffs
3907,72.8,Servicing,Heating,Preferential tariffs
2104,89.3,Installation of equipment,Heating,Individual tariffs
353,98.1,Repair,Drainage,Combined tariffs
1530,94.2,Consulting,Water supply,Standard tariffs
3461,79.9,Installation of equipment,Drainage,Tariffs for industry
111,72.8,Energy supply,Drainage,Preferential tariffs
3908,69.5,Energy supply,Electricity supply,Discounted rates
2838,55.9,Consulting,Heating,Individual tariffs
1186,74.1,Servicing,Electricity supply,Tariffs for industry
2965,51.2,Consulting,Heating,Individual tariffs
198,51.6,Energy supply,Heating,Economy tariffs
2815,81.5,Servicing,Gas supply,Individual tariffs
3914,94.9,Servicing,Electricity supply,Preferential tariffs
3971,86.1,Energy supply,Gas supply,Preferential tariffs
3190,80.1,Repair,Heating,Economy tariffs
2415,91.7,Consulting,Water supply,Combined tariffs
2891,58.7,Servicing,Electricity supply,Discounted rates
3976,79.3,Energy supply,Water supply,Preferential tariffs
1518,70.8,Installation of equipment,Drainage,Combined tariffs
3409,82.8,Servicing,Gas supply,Standard tariffs
2893,61.3,Consulting,Water supply,Tariffs for industry
3321,53.0,Consulting,Electricity supply,Combined tariffs
864,70.0,Energy supply,Drainage,Discounted rates
2661,57.6,Repair,Heating,Discounted rates
1461,96.2,Repair,Heating,Preferential tariffs
3507,88.9,Energy supply,Drainage,Preferential tariffs
2347,92.3,Installation of equipment,Electricity supply,Preferential tariffs
414,65.7,Repair,Water supply,Tariffs for industry
3240,50.5,Repair,Gas supply,Standard tariffs
2070,93.8,Consulting,Water supply,Combined tariffs
1947,83.9,Consulting,Heating,Individual tariffs
1464,86.2,Installation of equipment,Heating,Economy tariffs
3574,67.0,Energy supply,Drainage,Tariffs for industry
1793,92.4,Consulting,Drainage,Discounted rates
1922,57.1,Energy supply,Drainage,Tariffs for industry
1770,65.8,Repair,Water supply,Standard tariffs
2095,86.9,Repair,Drainage,Combined tariffs
2021,72.9,Energy supply,Drainage,Individual tariffs
2777,82.7,Repair,Gas supply,Tariffs for industry
3147,67.9,Servicing,Drainage,Discounted rates
3272,69.3,Servicing,Drainage,Preferential tariffs
661,78.0,Consulting,Drainage,Standard tariffs
216,55.3,Repair,Water supply,Preferential tariffs
1239,57.7,Installation of equipment,Gas supply,Preferential tariffs
3535,57.9,Repair,Heating,Preferential tariffs
1976,66.6,Repair,Drainage,Tariffs for industry
451,69.8,Consulting,Electricity supply,Individual tariffs
1124,54.1,Servicing,Heating,Discounted rates
1461,78.5,Energy supply,Water supply,Standard tariffs
312,53.7,Energy supply,Heating,Economy tariffs
2730,90.8,Repair,Heating,Combined tariffs
2769,91.4,Consulting,Drainage,Standard tariffs
1121,71.8,Consulting,Heating,Economy tariffs
2731,52.1,Installation of equipment,Gas supply,Combined tariffs
3381,72.9,Energy supply,Electricity supply,Economy tariffs
2488,60.5,Energy supply,Heating,Tariffs for industry
1716,55.9,Consulting,Gas supply,Individual tariffs
3741,77.4,Servicing,Drainage,Standard tariffs
329,51.1,Consulting,Electricity supply,Preferential tariffs
1240,93.1,Servicing,Heating,Economy tariffs
3009,93.6,Energy supply,Drainage,Discounted rates
1870,96.4,Repair,Water supply,Tariffs for industry
3550,61.5,Repair,Gas supply,Discounted rates
1219,81.2,Consulting,Electricity supply,Standard tariffs
414,91.2,Energy supply,Drainage,Standard tariffs
1403,90.4,Installation of equipment,Gas supply,Preferential tariffs
3432,79.1,Repair,Gas supply,Preferential tariffs
205,61.6,Consulting,Gas supply,Preferential tariffs
1350,65.1,Servicing,Heating,Standard tariffs
1710,67.5,Servicing,Water supply,Tariffs for industry
2750,77.5,Installation of equipment,Drainage,Standard tariffs
3349,74.2,Consulting,Heating,Standard tariffs
1374,92.4,Installation of equipment,Electricity supply,Preferential tariffs
434,53.1,Servicing,Heating,Tariffs for industry
797,87.4,Installation of equipment,Electricity supply,Tariffs for industry
1824,82.9,Servicing,Heating,Preferential tariffs
3304,56.7,Installation of equipment,Electricity supply,Tariffs for industry
2991,57.1,Energy supply,Heating,Individual tariffs
1364,80.2,Servicing,Water supply,Tariffs for industry
2610,52.6,Consulting,Water supply,Standard tariffs
2923,78.8,Energy supply,Drainage,Combined tariffs
3355,70.7,Energy supply,Heating,Combined tariffs
1350,63.8,Installation of equipment,Heating,Preferential tariffs
3368,90.0,Repair,Heating,Standard tariffs
1487,64.7,Installation of equipment,Gas supply,Tariffs for industry
1875,63.0,Consulting,Heating,Economy tariffs
3622,95.4,Consulting,Water supply,Individual tariffs
2688,87.9,Servicing,Electricity supply,Individual tariffs
3582,62.7,Installation of equipment,Heating,Individual tariffs
1961,72.3,Energy supply,Heating,Standard tariffs
306,69.4,Repair,Electricity supply,Preferential tariffs
3715,86.7,Servicing,Water supply,Individual tariffs
960,77.5,Repair,Heating,Combined tariffs
2278,96.1,Installation of equipment,Water supply,Preferential tariffs
3664,63.1,Consulting,Drainage,Individual tariffs
3179,88.2,Repair,Drainage,Standard tariffs
349,70.5,Installation of equipment,Heating,Discounted rates
3732,77.7,Energy supply,Water supply,Combined tariffs
3846,64.2,Repair,Heating,Economy tariffs
2385,93.5,Repair,Gas supply,Discounted rates
1334,57.1,Energy supply,Drainage,Preferential tariffs
2188,75.1,Installation of equipment,Heating,Economy tariffs
1439,58.9,Energy supply,Water supply,Economy tariffs
327,79.9,Repair,Gas supply,Tariffs for industry
3220,51.3,Repair,Electricity supply,Combined tariffs
2405,54.8,Installation of equipment,Drainage,Individual tariffs
1602,75.8,Servicing,Drainage,Preferential tariffs
1315,82.8,Consulting,Heating,Tariffs for industry
2652,93.7,Servicing,Electricity supply,Economy tariffs
2223,70.1,Installation of equipment,Water supply,Economy tariffs
3331,54.6,Repair,Electricity supply,Standard tariffs
240,67.9,Servicing,Heating,Discounted rates
1696,83.6,Energy supply,Water supply,Standard tariffs
286,94.4,Repair,Water supply,Tariffs for industry
2923,77.1,Consulting,Drainage,Economy tariffs
2382,54.6,Repair,Gas supply,Tariffs for industry
2565,83.3,Servicing,Drainage,Tariffs for industry
236,55.9,Servicing,Drainage,Preferential tariffs
3284,86.2,Servicing,Drainage,Combined tariffs
185,66.5,Servicing,Heating,Discounted rates
1055,93.4,Servicing,Electricity supply,Individual tariffs
1151,98.3,Consulting,Water supply,Tariffs for industry
2658,60.4,Installation of equipment,Drainage,Economy tariffs
209,77.7,Repair,Drainage,Combined tariffs
1847,76.8,Servicing,Heating,Economy tariffs
2992,68.7,Servicing,Gas supply,Standard tariffs
3614,98.5,Servicing,Water supply,Tariffs for industry
